domain,backlinks,creation_date,first_seen,DA,PA,TF,CF,external_link,spam_rating,referring_domains,add_date,end_date,status,tld_registered,crawl_results,global_rank,length,com_tld,net_tld,org_tld,biz_tld,info_tld,de_tld,root_ip
BirkenStockSandals.name,45.8 K,2021,2017,27,34,9,23,"45,844",12 / 18,394,2024-12-20,2024-12-24,-,-,180,804.7 K,18,-,registered,available,registered,available,available,62.116.130.8
buystromectolx.com,5.1 K,2023,2022,10,46,0,20,"5,099",5 / 18,130,2024-12-21,2024-12-25,-,-,36,0,14,-,registered,available,available,available,available,142.91.253.19
blogsqatar.com,8,2019,2021,7,25,0,8,8,0 / 18,7,2024-12-21,2024-12-25,-,-,6,0,10,-,registered,available,available,available,available,76.223.67.189
All4Share.net,1.8 M,2014,2008,31,57,28,36,"1,795,905",0 / 18,806,2024-12-21,2024-12-25,-,-,903,302.0 K,9,-,registered,registered,registered,available,available,51.91.236.255
MyMiniCity.es,96.2 K,-,2007,45,41,10,13,"94,721",14 / 18,201,2024-12-20,2024-12-29,-,-,422,0,10,-,registered,available,available,available,available,199.59.243.227
ExamSocial.com,3.6 K,2021,2013,14,36,0,19,"3,625",7 / 18,160,2024-12-21,2024-12-25,-,-,21,0,10,-,registered,available,available,available,available,99.83.136.84
samsungvillage.com,297,2010,2001,46,30,10,16,300,9 / 18,138,2024-12-21,2024-12-25,-,-,49,0,14,-,registered,available,available,available,available,103.169.142.0
virukshamtrust.com,89.1 K,2023,2011,13,29,6,19,"87,297",0 / 18,145,2024-12-21,2024-12-25,-,-,82,0,14,-,registered,available,available,available,available,N/A
sooanboanma.com,2.5 K,2016,2018,14,29,0,18,"2,500",0 / 18,108,2024-12-21,2024-12-25,-,-,42,0,11,-,registered,available,available,available,available,N/A
HealthTourismMagazine.com,812,2023,2009,17,24,15,13,813,10 / 18,22,2024-12-21,2024-12-25,-,-,98,0,21,-,registered,available,available,available,available,N/A
tasdj.pl,995,2015,2005,30,33,23,16,997,10 / 18,113,2024-12-20,2025-01-17,-,-,474,0,5,-,registered,available,available,available,available,89.40.146.149
niekrytykrytyk.com,90.1 K,2023,2011,24,37,6,13,"88,311",14 / 18,155,2024-12-21,2024-12-25,-,-,157,0,14,-,registered,available,available,available,available,N/A
memgenerator.pl,2.1 K,2023,2011,47,39,9,15,"2,081",8 / 18,289,2024-12-20,2025-01-18,-,-,128,0,12,-,registered,registered,available,available,available,N/A
BabesPanty.com,95.7 K,2023,2009,10,31,12,16,"93,875",0 / 18,442,2024-12-21,2024-12-25,-,-,192,0,10,-,registered,available,available,available,available,107.167.35.102
ptiturl.com,2.4 K,2022,2009,32,42,13,16,"2,407",6 / 18,213,2024-12-21,2024-12-25,-,-,5323,0,7,-,registered,available,available,available,available,N/A
AppCooker.com,868,2009,2011,37,40,12,22,871,1 / 18,272,2024-12-21,2024-12-25,-,-,402,0,9,-,registered,available,available,available,available,N/A
minetki.biz,844,2018,2018,16,33,13,15,822,13 / 18,515,2024-12-21,2025-01-20,-,-,73,0,7,-,registered,registered,registered,registered,available,75.2.37.224
effisk.net,958,2004,2004,30,29,13,16,959,10 / 18,115,2024-12-21,2024-12-25,Yes,Yes,331,0,6,-,available,registered,available,available,available,213.186.33.87
tamoxifenshopping.org,21,2023,2021,7,37,0,12,21,2 / 18,16,2024-12-21,2025-01-20,-,-,27,0,17,-,available,available,registered,available,available,199.59.243.227
TadalafilBuyNow.com,1.6 K,2022,2012,12,47,0,19,"1,696",0 / 18,102,2024-12-21,2024-12-25,-,-,28,0,15,-,registered,available,available,available,available,199.59.243.227
gzoo.org,1.2 K,2006,2007,15,36,6,19,"1,177",10 / 18,134,2024-12-21,2025-01-20,-,-,791,0,4,-,registered,registered,registered,available,available,15.197.240.20
FallInstar.org,670,2006,2008,34,34,8,18,670,6 / 18,134,2024-12-21,2025-01-20,-,-,220,0,10,-,registered,available,registered,available,available,13.248.213.45
chrono4usale.co,2.8 K,2021,2021,26,29,2,23,"2,829",4 / 18,174,2024-12-21,2025-01-20,-,-,44,0,12,-,registered,available,available,available,available,199.59.243.227
ThatBridesGotMoxie.com,1.3 K,2023,2012,23,53,1,21,"1,260",8 / 18,289,2024-12-21,2024-12-25,-,-,128,992.4 K,18,-,registered,available,available,available,available,54.209.32.212
European-Wall-Tapestries.com,778,2021,2003,17,31,16,16,780,13 / 18,71,2024-12-21,2024-12-25,-,-,1047,0,24,-,registered,available,available,available,available,199.59.243.227
megustamibarrio.es,4.5 K,-,2012,37,37,6,17,"4,538",1 / 18,455,2024-12-20,2024-12-29,-,-,278,0,15,-,registered,available,registered,available,available,N/A
VanEscort.info,23.0 K,2019,2014,21,33,8,18,"23,013",6 / 18,96,2024-12-21,2025-01-20,-,-,882,0,9,-,registered,registered,registered,registered,registered,13.248.213.45
NovelEros.com,372,2023,2007,29,39,8,20,376,7 / 18,90,2024-12-21,2024-12-25,-,-,324,0,9,-,registered,available,available,available,available,54.157.0.251
fonosfera.org,2.5 K,2007,2008,31,34,16,17,"2,488",2 / 18,157,2024-12-21,2025-01-20,-,-,127,0,9,-,available,available,registered,available,available,N/A
DeveloperCenter.ir,445,-,2006,25,42,7,12,439,1 / 18,40,2024-12-20,2025-01-19,-,-,399,0,15,-,registered,available,available,available,available,77.237.66.238
Port-All.com,6.5 K,2017,2004,13,29,13,18,"6,549",0 / 18,25,2024-12-21,2024-12-25,-,-,338,0,8,-,registered,registered,registered,available,available,54.147.36.250
ItsBilla.cz,739,2023,2009,30,34,9,18,738,1 / 18,46,2024-12-21,2025-01-20,-,-,170,0,8,-,registered,available,available,available,available,46.8.8.200
Coach-FactoryOutlet.org,20.2 K,2023,2012,26,38,10,21,"20,205",4 / 18,293,2024-12-21,2025-01-20,-,-,165,0,19,-,available,registered,registered,registered,available,199.59.243.227
lesateliersdelamaille.com,353,2004,2007,27,30,9,17,355,0 / 18,100,2024-12-21,2024-12-25,-,-,261,0,21,-,registered,available,available,available,available,213.186.33.50
blog4dj.org,426,2023,2010,16,36,5,17,427,3 / 18,131,2024-12-21,2025-01-20,-,-,271,0,7,-,available,available,registered,available,available,199.59.243.227
e-sygoing.com,130,2021,2001,11,31,15,14,132,10 / 18,51,2024-12-21,2024-12-25,-,-,531,0,9,-,registered,available,available,available,available,N/A
iconius.co,424,2018,2021,17,32,0,14,426,0 / 18,223,2024-12-21,2025-01-20,-,-,16,0,7,-,registered,available,available,available,available,165.160.15.20
Cartier-Watches.us,43.2 K,2022,2009,30,39,15,30,"43,402",2 / 18,284,2024-12-21,2025-01-20,-,-,174,989.7 K,15,-,registered,registered,available,available,available,198.252.102.197
smartkeitai.com,917,2021,2004,40,37,23,31,925,9 / 18,145,2024-12-21,2024-12-25,-,-,585,0,11,-,registered,available,available,available,available,54.147.36.250
medspformen.com,13.9 K,2023,2020,11,49,1,21,"13,889",15 / 18,322,2024-12-21,2024-12-25,-,-,105,0,11,-,registered,available,available,available,available,199.59.243.227
yuewenyi.com,323,2015,2017,19,33,0,11,322,3 / 18,167,2024-12-21,2024-12-25,-,-,37,0,8,-,registered,available,available,available,available,183.179.150.46
thecentsiblefamily.com,2.3 K,2023,2011,20,39,4,23,"2,256",12 / 18,111,2024-12-21,2024-12-25,-,-,297,0,18,-,registered,available,available,available,available,199.59.243.227
NightFling.com,297,2021,2001,19,39,10,13,307,10 / 18,46,2024-12-21,2024-12-25,-,-,206,0,10,-,registered,available,available,available,available,N/A
TalkFreebies.com,9.6 K,2023,2004,14,35,4,13,"9,818",3 / 18,46,2024-12-21,2024-12-25,-,-,273,0,12,-,registered,available,available,available,available,75.126.101.231
JessicaChristie-Miller.com,60,2016,2018,11,30,2,12,61,5 / 18,24,2024-12-21,2024-12-25,-,-,23,0,22,-,registered,available,available,available,available,92.205.0.94
MardinEscort.info,22.0 K,2019,2014,20,35,6,18,"22,017",3 / 18,93,2024-12-21,2025-01-20,-,-,891,0,12,-,registered,registered,registered,registered,registered,76.223.67.189
VividVideoOnline.com,680,2004,2001,28,33,5,20,683,11 / 18,73,2024-12-21,2024-12-25,-,-,128,0,16,-,registered,available,available,available,available,13.248.213.45
Mister-Templates.com,209,2023,2007,8,28,6,18,210,1 / 18,112,2024-12-21,2024-12-25,-,-,199,0,16,-,registered,available,available,available,available,76.223.54.146
olxthailand.com,480,2023,2008,25,32,6,14,482,10 / 18,66,2024-12-21,2024-12-25,-,-,297,0,11,-,registered,available,available,available,available,104.21.54.150
vegasjoatv.com,4.7 K,2020,2021,8,31,0,9,"4,746",0 / 18,115,2024-12-21,2024-12-25,-,-,6,0,10,-,registered,available,available,available,available,N/A
HobbyHot.com,1.7 K,2023,2010,22,30,4,19,"1,709",15 / 18,66,2024-12-21,2024-12-25,-,-,101,0,8,-,registered,available,available,available,available,N/A
SantafePacking.com,7.1 K,2004,2011,29,40,5,14,"7,093",12 / 18,593,2024-12-21,2024-12-25,-,-,41,393.1 K,14,-,registered,available,available,available,available,N/A
Cinema-Theatre.com,178,2023,2003,13,40,4,13,179,4 / 18,37,2024-12-21,2024-12-25,-,-,379,0,14,-,registered,registered,registered,available,available,79.133.41.61
MarathonPerformance.com,125,2019,2007,20,31,19,16,127,6 / 18,39,2024-12-21,2024-12-25,-,-,188,0,19,-,registered,available,available,available,available,54.147.36.250
RamTheSunLover.com,421,2011,2011,36,36,8,14,415,0 / 18,57,2024-12-21,2024-12-25,-,-,265,0,14,-,registered,available,available,available,available,149.248.2.138
empiritag.com,131,2009,2009,16,32,6,11,131,8 / 18,35,2024-12-21,2024-12-25,-,-,147,0,9,-,registered,available,available,available,available,N/A
cssbreeze.com,159,2015,2008,17,31,4,16,164,0 / 18,72,2024-12-21,2024-12-25,-,-,468,0,9,-,registered,available,available,available,available,54.157.0.251
micweddingdresses.com,499,2022,2009,19,36,8,16,509,10 / 18,46,2024-12-21,2024-12-25,-,-,97,0,17,-,registered,available,available,available,available,N/A
PinteRestWomen.org,138,2022,2012,16,34,2,12,140,10 / 18,34,2024-12-21,2025-01-20,-,-,178,0,14,-,available,available,registered,available,available,75.2.18.233
djazairdvb.biz,1.9 K,2023,2006,20,34,2,14,"1,938",7 / 18,62,2024-12-21,2025-01-20,-,-,430,0,10,-,available,available,available,registered,available,75.2.18.233
annuaire770.info,185,2023,2007,13,30,13,15,187,17 / 18,35,2024-12-21,2025-01-20,-,-,347,0,11,-,available,available,available,available,registered,213.186.33.5
KurdUpload.com,42.0 K,2018,2008,23,29,4,14,"42,050",5 / 18,34,2024-12-21,2024-12-25,-,-,105,0,10,-,registered,available,available,available,available,54.147.36.250
riameeting.com,134,2018,2009,16,31,9,14,137,10 / 18,43,2024-12-21,2024-12-25,-,-,171,0,10,-,registered,available,available,available,available,185.199.111.153
unicloob.ir,160,-,2011,11,35,2,9,163,5 / 18,21,2024-12-20,2025-01-19,-,-,184,0,8,-,registered,available,available,available,available,N/A
miprocloud.net,124,2011,2012,22,31,4,12,126,9 / 18,35,2024-12-21,2024-12-25,-,-,71,0,10,-,available,registered,available,available,available,13.248.213.45
PropertyTradingCenter.com,138,2022,2002,17,30,4,14,140,15 / 18,36,2024-12-21,2024-12-25,-,-,143,0,21,-,registered,available,available,available,available,199.59.243.227
OnPagePromotions.com,5.9 K,2023,2010,26,30,11,11,"5,876",0 / 18,56,2024-12-21,2024-12-25,-,-,135,0,16,-,registered,available,available,available,available,183.179.150.46
lttoursandtravels.com,378,2023,2021,16,35,9,14,378,13 / 18,193,2024-12-21,2024-12-25,-,-,8,0,17,-,registered,available,available,available,available,195.110.124.154
jame-eshgh.ir,58,-,2011,5,35,2,7,59,15 / 18,19,2024-12-20,2025-01-19,-,-,222,0,10,-,available,available,available,available,available,N/A
Free-Script.it,303,2023,2006,16,35,11,15,312,8 / 18,35,2024-12-21,2025-01-20,-,-,229,0,11,-,registered,registered,available,available,available,76.223.26.96
TheHeatWeb.com,298,2009,2009,26,36,4,16,306,2 / 18,84,2024-12-21,2024-12-25,-,-,197,0,10,-,registered,available,available,available,available,202.254.236.116
SocialExchangeList.com,161,2017,2012,13,29,4,11,164,13 / 18,26,2024-12-21,2024-12-25,-,-,102,0,18,-,registered,available,available,available,available,183.179.150.46
jofair.com,81,2023,2002,20,35,24,14,83,11 / 18,37,2024-12-21,2024-12-25,Yes,Yes,372,0,6,-,registered,available,available,available,available,199.59.243.227
IdeeBee.com,170,2018,2009,19,32,4,13,174,0 / 18,26,2024-12-21,2024-12-25,-,-,54,0,7,-,registered,available,available,available,available,N/A
ilove-apple.com,111,2021,2011,20,35,4,16,114,14 / 18,35,2024-12-21,2024-12-25,-,-,193,0,11,-,registered,available,available,available,available,13.248.213.45
javavideotutes.com,117.1 K,2023,2007,14,32,4,13,"117,101",6 / 18,42,2024-12-21,2024-12-25,-,-,242,0,14,-,registered,available,available,available,available,38.173.194.74
Key2Seo.com,121,2008,2009,14,33,9,14,123,4 / 18,31,2024-12-21,2024-12-25,-,-,163,0,7,-,registered,available,available,available,available,15.197.148.33
